Keywords,Date and Time,Source,Event ID,Task Category,LogSource,Level
None,2026-04-22 14:33:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:34:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:35:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:36:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:37:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:38:46,4624,4624,Print Document,System,Information
None,2026-04-22 14:39:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:40:46,4624,4624,Service Control Manager,System,Information
None,2026-04-22 14:41:46,4624,4624,Service Control Manager,System,Information
None,2026-04-22 14:42:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:43:46,4624,4624,Print Document,System,Information
None,2026-04-22 14:44:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:45:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:46:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:47:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:48:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:49:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:50:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:51:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 14:52:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:53:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:54:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 14:55:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:56:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 14:57:46,4624,4624,User Logoff,System,Information
None,2026-04-22 14:58:46,4624,4624,Service Control Manager,System,Information
None,2026-04-22 14:59:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 15:00:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 15:01:46,4624,4624,Print Document,System,Information
None,2026-04-22 15:02:46,4624,4624,User Logoff,System,Information
None,2026-04-22 15:03:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 15:04:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 15:05:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 15:06:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 15:07:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 15:08:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 15:09:46,4624,4624,Update Orchestrator Service,System,Information
None,2026-04-22 15:10:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 15:11:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 15:12:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 15:13:46,4624,4624,Time Service Synchronization,System,Information
None,2026-04-22 15:14:46,4624,4624,Network Connection Success,System,Information
None,2026-04-22 15:15:46,4624,4624,Print Document,System,Information
None,2026-04-22 15:16:46,4624,4624,Print Document,System,Information
Alert,2026-04-22 15:42:46,1102,1102,The audit log was cleared.,SECURITY,Critical
Alert,2026-04-22 15:42:46,4720,4720,A user account 'Hacker_Admin' was created.,SECURITY,Critical
Alert,2026-04-22 15:42:46,9999,9999,Process Name: C:\Program Files\Oracle\VirtualBox\VirtualBox.exe started.,APPLICATION,Critical
Alert,2026-04-22 15:42:46,4625,4625,An account failed to log on (Brute force attempt detected).,SECURITY,Critical
Alert,2026-04-22 15:42:46,0000,0000,Kernel-Power: The system is shutting down due to a critical thermal event.,SYSTEM,Critical
